Energy Usage Information,,
,,
,,
Meter Reading Information,,
Type of readings: Electricity,,
,,
Summary of Electric Power Usage Information*,,
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. ",,
,,
Detailed Usage,,
Start date: 2019-09-30 23:00:00  for 123 days,,
,,
Data for period starting: 2019-10-01 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
Data for period starting: 2019-10-08 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-08 00:00:00 to 2019-10-08 01:00:00,1.32,
2019-10-08 01:00:00 to 2019-10-08 02:00:00,1.473,
2019-10-08 02:00:00 to 2019-10-08 03:00:00,2.543,
2019-10-08 03:00:00 to 2019-10-08 04:00:00,2.27,
2019-10-08 04:00:00 to 2019-10-08 05:00:00,1.61,
2019-10-08 05:00:00 to 2019-10-08 06:00:00,1.32,
2019-10-08 06:00:00 to 2019-10-08 07:00:00,1.367,
2019-10-08 07:00:00 to 2019-10-08 08:00:00,1.757,
2019-10-08 08:00:00 to 2019-10-08 09:00:00,1.433,
2019-10-08 09:00:00 to 2019-10-08 10:00:00,1.353,
2019-10-08 10:00:00 to 2019-10-08 11:00:00,1.297,
2019-10-08 11:00:00 to 2019-10-08 12:00:00,1.223,
2019-10-08 12:00:00 to 2019-10-08 13:00:00,1.413,
2019-10-08 13:00:00 to 2019-10-08 14:00:00,1.787,
2019-10-08 14:00:00 to 2019-10-08 15:00:00,1.59,
2019-10-08 15:00:00 to 2019-10-08 16:00:00,1.323,
2019-10-08 16:00:00 to 2019-10-08 17:00:00,1.553,
2019-10-08 17:00:00 to 2019-10-08 18:00:00,1.603,
2019-10-08 18:00:00 to 2019-10-08 19:00:00,1.637,
2019-10-08 19:00:00 to 2019-10-08 20:00:00,2.037,
2019-10-08 20:00:00 to 2019-10-08 21:00:00,4.23,
2019-10-08 21:00:00 to 2019-10-08 22:00:00,3.943,
2019-10-08 22:00:00 to 2019-10-08 23:00:00,3.807,
2019-10-08 23:00:00 to 2019-10-09 00:00:00,3.607,
,,
Data for period starting: 2019-10-09 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-09 00:00:00 to 2019-10-09 01:00:00,1.7,
2019-10-09 01:00:00 to 2019-10-09 02:00:00,1.35,
2019-10-09 02:00:00 to 2019-10-09 03:00:00,1.523,
2019-10-09 03:00:00 to 2019-10-09 04:00:00,1.737,
2019-10-09 04:00:00 to 2019-10-09 05:00:00,1.26,
2019-10-09 05:00:00 to 2019-10-09 06:00:00,1.2,
2019-10-09 06:00:00 to 2019-10-09 07:00:00,1.23,
2019-10-09 07:00:00 to 2019-10-09 08:00:00,1.487,
2019-10-09 08:00:00 to 2019-10-09 09:00:00,1.407,
2019-10-09 09:00:00 to 2019-10-09 10:00:00,2.303,
2019-10-09 10:00:00 to 2019-10-09 11:00:00,1.883,
2019-10-09 11:00:00 to 2019-10-09 12:00:00,1.677,
2019-10-09 12:00:00 to 2019-10-09 13:00:00,1.397,
2019-10-09 13:00:00 to 2019-10-09 14:00:00,1.313,
2019-10-09 14:00:00 to 2019-10-09 15:00:00,1.333,
2019-10-09 15:00:00 to 2019-10-09 16:00:00,1.243,
2019-10-09 16:00:00 to 2019-10-09 17:00:00,1.41,
2019-10-09 17:00:00 to 2019-10-09 18:00:00,1.177,
2019-10-09 18:00:00 to 2019-10-09 19:00:00,1.23,
2019-10-09 19:00:00 to 2019-10-09 20:00:00,1.233,
2019-10-09 20:00:00 to 2019-10-09 21:00:00,3.443,
2019-10-09 21:00:00 to 2019-10-09 22:00:00,3.313,
2019-10-09 22:00:00 to 2019-10-09 23:00:00,2.517,
2019-10-09 23:00:00 to 2019-10-10 00:00:00,3.657,
,,
Data for period starting: 2019-10-10 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-10 00:00:00 to 2019-10-10 01:00:00,2.4,
2019-10-10 01:00:00 to 2019-10-10 02:00:00,1.32,
2019-10-10 02:00:00 to 2019-10-10 03:00:00,1.61,
2019-10-10 03:00:00 to 2019-10-10 04:00:00,1.35,
2019-10-10 04:00:00 to 2019-10-10 05:00:00,2.163,
2019-10-10 05:00:00 to 2019-10-10 06:00:00,1.847,
2019-10-10 06:00:00 to 2019-10-10 07:00:00,1.623,
2019-10-10 07:00:00 to 2019-10-10 08:00:00,1.82,
2019-10-10 08:00:00 to 2019-10-10 09:00:00,1.4,
2019-10-10 09:00:00 to 2019-10-10 10:00:00,1.7,
2019-10-10 10:00:00 to 2019-10-10 11:00:00,1.8,
2019-10-10 11:00:00 to 2019-10-10 12:00:00,2.25,
2019-10-10 12:00:00 to 2019-10-10 13:00:00,1.91,
2019-10-10 13:00:00 to 2019-10-10 14:00:00,1.233,
2019-10-10 14:00:00 to 2019-10-10 15:00:00,1.787,
2019-10-10 15:00:00 to 2019-10-10 16:00:00,1.363,
2019-10-10 16:00:00 to 2019-10-10 17:00:00,1.31,
2019-10-10 17:00:00 to 2019-10-10 18:00:00,1.767,
2019-10-10 18:00:00 to 2019-10-10 19:00:00,1.52,
2019-10-10 19:00:00 to 2019-10-10 20:00:00,1.673,
2019-10-10 20:00:00 to 2019-10-10 21:00:00,3.317,
2019-10-10 21:00:00 to 2019-10-10 22:00:00,3.13,
2019-10-10 22:00:00 to 2019-10-10 23:00:00,2.913,
2019-10-10 23:00:00 to 2019-10-11 00:00:00,1.737,
,,
Data for period starting: 2019-10-11 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-11 00:00:00 to 2019-10-11 01:00:00,1.433,
2019-10-11 01:00:00 to 2019-10-11 02:00:00,1.417,
2019-10-11 02:00:00 to 2019-10-11 03:00:00,1.85,
2019-10-11 03:00:00 to 2019-10-11 04:00:00,1.37,
2019-10-11 04:00:00 to 2019-10-11 05:00:00,1.407,
2019-10-11 05:00:00 to 2019-10-11 06:00:00,1.397,
2019-10-11 06:00:00 to 2019-10-11 07:00:00,1.797,
2019-10-11 07:00:00 to 2019-10-11 08:00:00,2.177,
2019-10-11 08:00:00 to 2019-10-11 09:00:00,1.57,
2019-10-11 09:00:00 to 2019-10-11 10:00:00,1.607,
